Organization_Name,Estimated_Revenue_Range,Total_Funding_Amount,Headquarters_Location,Description,Founded_Date,Number_of_Founders,Funding_Status,Funding_Stage,Number_Funding_Rounds,Number_of_Investors,Industries,Industry_Groups,Sector_Size,Number_of_Employees,Downloads_Last_30_Days,Number_of_Apps,Visit_Duration,Bounce_Rate,Monthly_Visits,Monthly_Visits_Growth,Exit_status
Ohjiya,5500000,,Riyadh ,"Ohijya provides internet solutions with their software in areas like media, digital tech, manpower as well as in AI and machine learning.",2006,,,Series B,,,"Artificial Intelligence, Enterprise Software, Internet, Internet of Things, Machine Learning",Travel&Tourism ,18000000000,376,,,,,,,0
Dar Al Tamleek,5500000,,Riyadh ,"Dar Al Tamleek has become the largest mortgage company in the Kingdom and has helped over 20,000 family members achieve home ownership.",2003,,,Series B,,,Financial Services,Business Intelligence,13000000000,376,,,252,63%,36729,-3%,0
EDESIGN,,,Riyadh ,EDESIGN provides digital transformation services.,2013,1,,Series B,,,"Graphic Design, Marketing",E-Commerce,13000000000,176,,13,318,23%,1005,189%,0
Naseej,75000000,,Riyadh ,"Naseej is a knowledge solution and service provider for knowledge management, knowledge consultancy, and information resources.",2009,,,Series B,,,"Consulting, Information Services, Information Technology, Knowledge Management",Artificial Intelligence,13000000000,6,,,1436,66%,2677,-91%,0
NuYu Fitness AlWaha,1000000,,Riyadh ,"Our boutique fitness centres in Riyadh, enable women of Saudi Arabia to experience freedom and self-expression through exercise.",2012,,Private Equity,Series C,1,1,"Fitness, Health Care, Internet, Leisure, Lifestyle",Food&Beverage ,42000000000,6,,,,,,,1
Advance Core Technology,75000000,,Riyadh ,"Advance Core Technology provides ICT services for clients to connect, communicate and collaborate.",2011,,,Series B,,,"Information and Communications Technology (ICT), Technical Support, Telecommunications",Food&Beverage ,42000000000,76,,,0,100%,206,,0
Dur Hospitality,,,Riyadh ,"Dur Hospitality is a hospitality company that manages, develops, and operates a portfolio of hotels and residential compounds.",2017,,,Seed,,,"Hospitality, Property Development, Property Management",Financial Services,13000000000,376,,,17,28%,1211,19%,1
Master Works,30000000,,Jeddah ,"Master Works offers business intelligence, data management, performance management, data strategy, software and consulting services.",2002,,,Series B,,,"Big Data, Business Intelligence, Consulting, Data Visualization, Predictive Analytics, Software",Real Estate,2500000000,751,,,4,91%,615,191%,0
Hawsabah,5500000,,Riyadh ,"Hawsabah provides business consulting, technology, engineering, and managed services to help clients build tomorrowâ€™s enterprise.",2015,,,Series B,,,"Cloud Computing, Enterprise, Infrastructure, Professional Networking, Professional Services, Security, Software",Real Estate,2500000000,6,,,,,,,0
Tech Tinderbox,,,Riyadh ,"Mobile App development, Artificial Intelligence, Machine Learning, Web Application and Website design.",2017,2,,Seed,,,"Artificial Intelligence, E-Commerce, Enterprise Resource Planning (ERP), Machine Learning, Mobile Apps, Web Design, Web Development",IT,13000000000,176,,,0,100%,130,,
Development Works Food,30000000,,Riyadh ,Development Works Food is specialized in the field of preparing and supplying food and beverages,2007,,IPO,Series B,,,"Business Development, Food and Beverage, Food Delivery, Food Processing",Financial Services,13000000000,376,,,61,50%,3448,-5%,1
Arab Dalla Trading Co,,,Riyadh ,Arab Dalla Trading Co is founded in 2011 and now its a leading trading ccompany in middle east . Mainly dealing with home appliances .,1991,,,Series C,,,"Electronics, Food and Beverage, Hospitality",Sales&Marketing,13000000000,76,,,0,100%,20,-96%,0
AL Rajhi Reit Fund,,,Riyadh ,AL Rajhi Reit Fund offers capital markets investment and advisory services.,2017,,IPO,Seed,,,"Asset Management, Banking, Financial Services",Logistics ,13000000000,31,,,,,,,1
STATION Contracting,,,Riyadh ,"STATION is a design, manufacturing and construction company.",1996,,,Series C,,,"Construction, Manufacturing",E-Commerce,13000000000,376,,,,,,,0
Allure Hub,1000000,,Jeddah ,"Allure Hub is Your own office within shared luxury designed space, meeting rooms, beside a drinks corner.",1992,4,,Series C,,,Coworking,Artificial Intelligence,13000000000,31,,26,430,82%,639,113%,0
Jawwy,30000000,,Riyadh ,"Jawwy is a digital mobile product that allows to build, manage, and share mobile plans in real-time.",2012,,,Series B,,,"Mobile Apps, Real Time, Telecommunications",Consultancy  ,13000000000,31,"111,104",5,484,39%,476777,-41%,0
Allianz Saudi Fransi Cooperative Insurance,,,Riyadh ,"Allianz Saudi Fransi Cooperative Insurance provides insurance solutions for car, gold, property and health insurance for it's customers.",2017,,IPO,Seed,,,"Financial Services, Insurance, Professional Services",E-Commerce,13000000000,31,,,20,58%,6632,15%,1
Focus Advertising,30000000,,Jeddah ,"Focus Advertising providing marketing communications services including strategic planning, media buying and direct marketing.",1993,,,Series C,,,"Advertising, Marketing",IT,13000000000,176,,,,,,,0
Ejazah.com,,,Jeddah ,Ejazah.com is an online travel company.,1993,,,Series C,,,"E-Commerce, Internet, Travel",Sales&Marketing,13000000000,176,,,,,,,0
Sona Jewellers,,,Riyadh ,Gold and Diamond Jewellery Store in Saudi Arabia.,2003,,,Series B,,,Jewelry,Energy,49500000000,176,,,,,,,1
Attar Software Engineering,,,Ash Sharqiyah,Attar Software Engineering is a software development company that specializes in ERP and IT solutions.,2017,,,Seed,,,"Enterprise Resource Planning (ERP), Information Technology, Intelligent Systems, Software",Real Estate,2500000000,751,,,,,,,
Nawat,,,Jeddah ,Nawat is a management consulting firm.,2017,2,,Seed,,,"Consulting, Management Consulting",Consumer Services,42000000000,751,,,,,,,1
Alrahden Company,30000000,,Asir Province,"Alrahden Company offers laundry services that includes clothes , Furniture , Upholstery ,Carpet & Sofa washing",1997,,,Series C,,,Laundry and Dry-cleaning,Real Estate,2500000000,76,,,,,,,1
Alnafitha IT,30000000,,Ash Sharqiyah,"Alnafitha has consistent procedures and resources, as well as the right skills, to plan IT strategies that meet your particular needs.",1990,,,Series C,,,"Cloud Computing, Computer, Infrastructure, Network Security, Outsourcing, Training",Transportation,18000000000,31,,,110,67%,2513,148%,0
Arabian Auto Agency,30000000,,Ash Sharqiyah,"Arabian Auto Agency is a distributor & seller of construction, transportation, agricultural, automotive & material handling equipment.",2012,,,Series B,,,"Consumer Goods, Sales",Artificial Intelligence,13000000000,31,,,0,100%,384,,0
Zahrat Al Waha For Trading Co.,300000000,,Riyadh ,Zahrat Al Waha For Trading Co. is a producer of PET preform and HDPE closure (caps) products.,2013,,IPO,Series B,,,"Manufacturing, Plastics and Rubber Manufacturing",E-Commerce,13000000000,6,,,,,,,1
Tamimi Group,,,Ash Sharqiyah,Tamimi Group provides integrated solutions with quality and professionalism.,1989,,,Series C,,,"Construction, Facility Management, Industrial, Professional Services",Telecommunication,13000000000,176,,,1,89%,1028,123%,0
Allied Maintenance,,,Riyadh ,Allied Maintenance is a facilities management company that manages multiple projects.,2009,,M&A,Series B,,,"Facilities Support Services, Infrastructure",Insurtech,13000000000,176,,,,,,,1
Southern Province Cement Co.,300000000,,Riyadh ,"Southern Province Cement Co. specializes in the manufacture and production of cement, its derivatives and dependencies.",1997,,IPO,Series C,,,"Building Material, Manufacturing",Food&Beverage ,42000000000,751,,,0,100%,1222,50%,1
Middle East Group,,,Jeddah ,"Middle East Group is a facilities management, operation and maintenance, transport and logistics, and food services company.",2012,1,,Series B,,,"Facility Management, Logistics, Transportation",Sales&Marketing,13000000000,31,,,0,100%,49,63%,0
Takamul Smart Technology,,,Ash Sharqiyah,Takamul Smart Technology is a digital product development company.,2007,,,Series B,,,"Information Technology, Intelligent Systems, Internet",Energy,49500000000,31,,3,,,,,0
NUMNY LLC,5500000,,Riyadh ,State of the art secure digital goods distribution and delivery platform.,2013,,,Series B,,,"Automotive, Delivery, E-Commerce, Internet, Internet of Things, Telecommunications, Transportation",Sales&Marketing,13000000000,31,,,,,,,0
El-Ajou Group Trading,,,Ash Sharqiyah,El-Ajou Group Trading provides office automation solutions in printing and office furniture solutions.,1980,,,Series C,,,"Furniture, Printing, Trading Platform",Energy,49500000000,751,,,,,,,1
Electronia,75000000,,Ash Sharqiyah,"Electronia delivers advanced wired/wireless broadband communications systems, VSAT systems, trunking, switching technologies solutions.",2008,,,Series B,,,"Local Business, Service Industry, Telecommunications",E-Commerce,13000000000,6,,,40,0%,33,,0
Gulf General Cooperative Insurance Co.,75000000,,Jeddah ,Gulf General Cooperative Insurance Co. is a cooperative insurance company that provides insurance solutions to meet customers' needs.,2002,,IPO,Series B,,,"Health Insurance, Insurance",Real Estate,2500000000,751,,,444,26%,7988,-8%,1
ARASCO,,,Jeddah ,ARASCO is a support food and water security in a sustainable manner in the kingdom and the region.,2008,,,Series B,,,"Food and Beverage, Food Delivery, Food Processing",IT,13000000000,31,,,28,29%,1892,-12%,0
hype Digital Marketing,,,Riyadh ,hype Digital Marketing is a digital marketing and social media management agency.,2001,,,Series B,,,"Advertising, Digital Marketing, Social Media Management",E-Commerce,13000000000,76,,,,,,,0
Midad Holdings,1000000,,Riyadh ,"Midad Holdings provides services to the oil & gas, refining & petrochemical, power & water, and public industries.",2012,,,Series B,,,Oil and Gas,Transportation,18000000000,176,,,,,,,0
Dtech Systems,,,Jeddah ,"Dtech Systems is a digital marketing agency that provides software solutions, mobile, and web applications.",2008,,,Series B,,,"Digital Marketing, Software, Web Apps",IT,13000000000,6,,,97,50%,1178,-13%,0
Saudi Steel Pipe,,,Jeddah ,Saudi Steel Pipe is the leading manufacturer of premium high-frequency induction welded pipes.,2010,,IPO,Series B,,,"Industrial Engineering, Manufacturing, Mechanical Engineering",IT,13000000000,31,,,9,33%,482,-25%,1
Digital Cairo Software,,,Ash Sharqiyah,Simple Software solutions,2015,1,,Series B,,,"Mobile Apps, Software",IT,13000000000,6,"29,864",11,,,,,0
Mowah,,,Ash Sharqiyah,Mowah is the largest private sea water and ground water desalination company.,1990,,,Series C,,,"Construction, Water Purification",Telecommunication,13000000000,376,,,5,50%,44,,0
4N Telecommunication,,,Ash Sharqiyah,4NTelecommunication is a recognized leader in delivering cutting-edge wireless and VSAT Internet Service and quality products ,1990,,,Series C,,,"Information Technology, Internet, Telecommunications",Energy,49500000000,176,,,,,,,0
Jathwa Technology,30000000,,Jeddah ,"Jathwa Technology provides data analytics, web and mobile application development, and e-commerce platform development services.",1999,,,Series C,,,"E-Commerce, E-Commerce Platforms, Software, Web Development",IT,13000000000,76,,,17,67%,279,-69%,0
Esnad Express,,,Riyadh ,"Esnad Express is proud to provide you innovative, reliable, swift, global logistics solutions.",2016,,,Seed,,,Logistics,Consultancy  ,13000000000,31,,,107,0%,329,89%,
Dot Connect,,,Riyadh ,Dot Connect is an IT company specialized in web design and development services.,1990,,,Series C,,,"Information Services, Information Technology, Web Development",Real Estate,2500000000,31,,,6,41%,293,,1
Fama,5500000,,Riyadh ,"FAMA Technologies is an information Technology Company. FAMA Technologies provides Software, Infrastructure, consulting, IT & IT Enabled.",1990,,,Series C,,,"Information Technology, Software",Media&Entertainment,49500000000,31,,,586,70%,929,-89%,0
H2Solutions,,,Jeddah,"H2Solutions provides graphic design, software development, digital marketing web and mobile development services.",2018,,,Seed,,,"Graphic Design, Software, Web Design, Web Development",Sales&Marketing,13000000000,31,,,,,,,
H. M. Al Rugaib & Sons Trading Co. Ltd.,30000000,,Jeddah ,H. M. Al Rugaib & Sons Trading Co. Ltd. is a home furnishing retailer and headquartered in the eastern province of Saudi Arabia.,2018,,,Seed,,,"Email, Retail",Food&Beverage ,42000000000,176,,,403,44%,45070,-40%,
AL ITTEFAQ STEEL PRODUCTS,30000000,,Ash Sharqiyah,AL ITTEFAQ STEEL PRODUCTS is a steel manufacturing company.,1989,,,Series C,,,"Manufacturing, Precious Metals, Service Industry",IT,13000000000,31,,,22,50%,326,15%,0
Wafai Net,,,Jeddah,"Wafai Net is the leading internet service provider in Saudi Arabia, we provide dedicated internet services all over the kingdom,",2017,,,Seed,,,"Cloud Computing, Cloud Management, IaaS, Information Technology, Internet, PaaS, Private Cloud",E-Commerce,13000000000,31,,,,,,,
Sandstorm Ventures,,,Riyadh ,"Sandstorm Ventures is a financial firm that offers investment strategies to promote market growth for investors, public & private companies.",2018,,,Seed,,,"Consulting, Financial Services, Venture Capital",Real Estate,2500000000,6,,,,,,,
Saudi Industrial Export Co.,30000000,,Riyadh ,Saudi Industrial Export Company core business are marketing and exporting national industrial products & other products within Saudi Arabia.,1980,,IPO,Series C,,,"Building Material, Wholesale",E-Commerce,13000000000,76,,2,,,,,1
King Faisal Foundation,1000000,,Riyadh ,The King Faisal Foundation (KFF) is an international philanthropic organization.,2006,,,Series B,,,"Association, Communities",Consultancy  ,13000000000,176,,,83,73%,2819,181%,0
Blue Brand,,,Jeddah ,advertising and digital marketing agency in Saudi Arabia,2013,,,Series B,,,"Advertising, Digital Marketing, SEO",E-Commerce,13000000000,6,,,,,,,0
Codruk Express,,,Riyadh ,Transport Company,2017,1,,Seed,,,"Food Delivery, Last Mile Transportation, Transportation",Food&Beverage ,42000000000,176,,,,,,,
Al Waseet IT Services,,,Riyadh ,"Al Waseet IT Services specializes in programming, accounting software, administrative, and office application solutions.",2018,,,Seed,,,"Enterprise Applications, Information Technology, Software, Technical Support",E-Commerce,13000000000,6,,,9,50%,742,-55%,
SHEETAG,5500000,,Jeddah ,"Sheetag based in KSA, is an online e-commerce site offering footwear and apparel fashion brands in Middle East and USA UK and Canada",2012,1,,Series B,,,"E-Commerce, Fashion, Lifestyle",Financial Services,13000000000,176,,8,,,,,1
Diom,,,Jeddah ,Diom an integrated work environment designed company's provides a user-centric co-working environment.,2007,,,Series B,,,"Coworking, Real Estate, Small and Medium Businesses",Insurtech,13000000000,76,,,,,,,1
Lazurde Company For Jewelry,750000000,,Riyadh ,"L'azurde gold and jewelry designer, manufacturer, and distributor, vision of continuous progress in crafting jewelry.",2016,,IPO,Seed,,,"Jewelry, Lifestyle, Manufacturing",EduTech,4760000000,6,,,454,42%,80180,17%,1
Fingerprint Consultancy,,,Riyadh ,Fingerprint Consultancy is an information technology management and consultancy services.,2007,,,Series B,,,"Consulting, Information Technology",EduTech,4760000000,76,,,29,47%,906,236%,1
Kanoosh,1000000,,Riyadh ,Kanoosh is the first local marketplace app for the Arabian Market.,1998,3,,Series C,,,"Apps, E-Commerce, Information Technology, iOS, Location Based Services, Marketplace",Human Resources,49500000000,751,,1,,,,,0
Fast Food Marketers,,,Riyadh ,"Fast Food Marketers deliver exceptional, excellent, & quality dairy products, customized meat varieties, baked and canned foods, and more.",2020,,,Seed,,,Food Processing,Transportation,18000000000,6,,,,,,,
Achieve One,,,Riyadh ,"Achieve One We Combine Creativity ,Technology and imagination to create the best suite products,",1999,,,Series C,,,"E-Commerce, Events, Retail",Consultancy  ,13000000000,751,,,,,,,0
Saudi Enaya Cooperative Insurance Co.,30000000,,Riyadh ,Saudi Enaya Cooperative Insurance Company is a Saudi Arabian public company that provides programs aligned with CCHI Standard & design.,2013,,IPO,Series B,,,"Financial Services, Insurance",Media&Entertainment,49500000000,31,,,148,22%,10798,194%,1
Alahli Takaful Co.,30000000,,Ash Sharqiyah ,Alahli Takaful Co. is a Saudi joint-stock company that operates insurance business according to Cooperative Insurance Companies Control Law.,1991,,IPO,Series C,,,"Health Insurance, Insurance, Life Insurance",E-Commerce,13000000000,176,,,141,0%,418,-53%,1
SHROO7,,,Jeddah ,SHROO7 is an educational platform that creates an online learning environment which provides comprehensive set of educational tools.,2009,,Seed,Seed,1,2,"E-Learning, EdTech, Education",Financial Services ,13000000000,31,,,,,,,0
Sabb Takaful Co.,30000000,,Riyadh ,"Sabb Takaful Co. is a joint-stock firm that provides protection & wealth management solutions through travel, education & other managements.",2000,,IPO,Series C,,,"Education, Insurance, Wealth Management",Financial Services,13000000000,176,,,31,50%,1430,,1
Saudi Intelligent Solutions,30000000,,Jeddah ,"Saudi Intelligent Solutions offers ICT services to corporations, outsourced recruitment, consultancy and managed recruitment services.",1990,,,Series C,,,"Human Resources, Information and Communications Technology (ICT), Recruiting, Staffing Agency",Media&Entertainment,49500000000,31,,,0,100%,235,49%,0
KDDAD,,,Riyadh ,Kddad is a leading Saudi establishment in the field of cub outstation services licensed by the Transport General Authority.,2007,1,,Series B,,,Taxi Service,Sales&Marketing,13000000000,31,,,0,100%,997,321%,0
Areen Holding Group,,,Riyadh ,"Areen Holding Group consists of several companies operate in different sectors, from industrial, health, and energy to retail.",2015,,,Series B,,,Management Consulting,Human Resources,49500000000,31,,,,,,,0
Hrakat,,,Riyadh ,Hrakat is a video and television production company.,2017,,,Seed,,,"Animation, TV Production",IT,13000000000,76,,,0,100%,465,-44%,
Zohoor Alreef,30000000,,Riyadh ,Zohoor Alreef is a manufacturer and retailer of perfumes.,2017,,,Seed,,,"Beauty, Cosmetics, Manufacturing",Consumer Services,42000000000,176,,,0,100%,3107,-16%,
Sidra Capital,1000000,,Riyadh ,"Sidra Capital is an asset management firm that specializes in real estate, investment banking, financial strategies and advisory services.",1990,,,Series C,,,"Advice, Asset Management, Financial Services, Real Estate",Sales&Marketing,13000000000,76,,,0,92%,701,-60%,0
Alamthal Financing,5500000,,Riyadh ,"Alamthal Financing provides individual finance, points of sale, financing programs, small and medium enterprises financing services.",2012,,,Series B,,,"Enterprise, Finance, Financial Services",Sales&Marketing,13000000000,31,,,0,100%,1833,251%,0
Saudi Gazette,5500000,,Riyadh ,Saudi Gazette is a Saudi Arabian English-language daily newspaper committed to providing readers with the news and information they rely on.,2015,,,Series B,,,Social News,Travel&Tourism ,18000000000,176,,,349,67%,1616608,-20%,0
Haraj,,,Jeddah ,Haraj is a technical service that enables the user to compose and post ads.,2006,1,,Series B,,,"Advertising, Internet, Predictive Analytics",IT,13000000000,31,"389,620",7,1082,38%,14800850,-29%,0
Rent Human Resources,,,Riyadh ,Rent Human Resources is a Saudi overseas recruitment company.,1992,,,Series C,,,"Human Resources, Recruiting",Real Estate,2500000000,751,,,,,,,0
CSE,30000000,,Riyadh ,CSE provides software and information technology services.,1998,,,Series C,,,"Information Technology, Professional Services, Software",IT,13000000000,31,,,,,,,0
Council for Saudi Chambers of Commerce and Industry,,,Riyadh ,The Council for Saudi Chambers is the legitimate representative of the Saudi business community.,2018,,,Seed,,,"Business Development, Government",Sales&Marketing,13000000000,31,,,13,71%,3270,688%,
Al Khaleejiah,1000000,,Riyadh ,Al Khaleejiah constantly supports and publishes details of media research and distribution Obtained by bona-fide independent companies.,2010,,,Series B,,,Advertising,IT,13000000000,31,,,,,,,0
Bold Agency,,,Jeddah ,Bold Agency is a communication and advertising agency.,2011,,,Series B,,,"Advertising, Marketing",Financial Services,13000000000,176,,,,,,,0
GDC Middle East,5500000,,Riyadh ,"GDC Middle East specializes in aerospace engineering, flights operations, aerospace integration center, and material logistics services.",2020,,,Seed,,,"Aerospace, Air Transportation, Logistics",E-Commerce,13000000000,376,,,0,100%,631,,
INDORSE TECHNOLOGIES,1000000,,Riyadh ,Indorse Technologies is a software vendor that provides solutions to facilitate e-transactions for businesses.,2013,2,,Series B,,,"Information Technology, Internet, Messaging, Software, Text Analytics",Sales&Marketing,13000000000,6,,,,,,,0
Gulf Group,,,Riyadh ,Gulf Group is a mechanical engineering and industrial company that undertakes contracts and maintenance of HVAC and industrial systems.,2019,,,Seed,,,"Construction, Industrial, Industrial Engineering",Artificial Intelligence,13000000000,31,,,,,,,
Dimofinf,30000000,,Jeddah ,Dimofinf is a website where users can search for available domain names and claim them.,2014,,,Series B,,,"Cloud Computing, Flash Storage, Web Development, Web Hosting",IT,13000000000,31,,,873,39%,45490,14%,0
NAQI,,,Riyadh ,NAQI is a provider of domestic water purification and desalination technologies.,2009,,,Series B,,,"Sales, Water Purification",Sales&Marketing,13000000000,76,,,588,60%,67225,-9%,0
Olivo Technologies,,,Riyadh ,Olivo Technologies is an information technology solutions and services company.,2017,,,Seed,,,"Information Services, Information Technology",EduTech,4760000000,751,,,,,,,
Hazim Consulting,,,Ash Sharqiyah,Hazim Consulting is a engineering consulting firm to provide creative and sustainable solutions.,2010,,,Series B,,,"Asset Management, Civil Engineering, Project Management",Media&Entertainment,49500000000,6,,,29,0%,132,,0
Bettertech,,,Riyadh ,"A Professional Software & Web Development Company in Saudi Arabia that specializes in Web Applications, Mobile Apps, Digital Marketing",2020,,,Seed,,,"Apps, Consulting, E-Commerce, Industrial Automation, Information Technology, Internet, Marketing, Software, Web Design, Web Development",Food&Beverage ,42000000000,31,,,88,75%,836,45%,
Edge Marketing & Communication,,,Jeddah ,Edge Marketing & Communication social media and digital communications agency.,2009,,,Series B,,,"Advertising, Marketing, Social Media",Insurtech,13000000000,176,,,,,,,1
Hudhud Systems,,,Riyadh ,"Hudhud is a self-service, no-code SaaS platform that allows you to design engaging AI chatbots and deploy them across different channels.",2013,,,Series B,,,"Artificial Intelligence, CRM, Machine Learning, Natural Language Processing, SaaS, Social CRM, Software, Virtual Assistant",Real Estate,2500000000,76,,,0,100%,69,,1
Hal Forever IT Systems,,,Jeddah ,Hal is a niche technology company focused on SMB growth and Educational institutions to deliver Quality.,2010,,,Series B,,,Software,IT,13000000000,6,94,3,31,70%,526,,0
bezaat,5500000,,Riyadh ,Bezaat is an online classified service that buys and sells without commission or broker fees.,1990,,,Series C,,,"Advertising, Automotive, Classifieds",Energy,49500000000,176,,2,747,56%,112900,-37%,0
Saudi Industrial Resins,,,Riyadh ,Saudi Industrial Resins is a petrochemical manufacturing company.,2016,,,Seed,,,"Chemical, Manufacturing, Oil and Gas",IT,13000000000,31,,,,,,,
KPMG Saudi Arabia,5500000000,,Riyadh ,KPMG Saudi Arabia is a service provider which providing university education.,2012,,,Series B,,,Education,Sales&Marketing,13000000000,6,,,,,,,0
Lottery Pros,1000000,,Riyadh ,One Stop Shop for Lottery Players,2007,,,Series B,,,"Gambling, Internet",Financial Services,13000000000,76,,,214,77%,14469,171%,0
Weee,,,Riyadh ,AI Bot,2002,,,Series B,,,"Delivery, E-Commerce, Food Delivery, Home Services, Information Technology, Predictive Analytics, Professional Services, Transportation, Travel",IT,13000000000,31,,,,,,,0
United Cooperative Assurance Co.,30000000,,Riyadh ,United Cooperative Assurance Co.is a cooperative insurance company  that practice insurance and reinsurance activities/business.,2009,,IPO,Series B,,,"Health Insurance, Insurance",Consultancy  ,13000000000,31,,,1124,21%,26530,298%,1
Umm Al-Qura Cement Co.,75000000,,Riyadh ,Umm Al-Qura Cement Co. is a cement manufacturing company having a factory with 6000 tons per day production capacity.,2018,,IPO,Seed,,,"Building Material, Manufacturing",Travel&Tourism ,18000000000,6,,,,,,,1
Global Investments Holdings,5500000,,Riyadh ,Liability Company,1990,1,,Series C,,,,Energy,49500000000,31,,,,,,,1
Tasâ€™helat Marketing,5500000,,Jeddah ,Tasâ€™helat Marketing Company is the first Saudi Company that owns and operates a chain of retail fuel outlets and car service centers.,2016,,,Seed,,,"Customer Service, Energy Management, Fuel",Travel&Tourism ,18000000000,6,,,110,0%,1147,348%,
Numrah,5500000,,Riyadh ,"Numrah specializes in mobile development, chatbox, intuitive mobile and messaging solutions.",2017,,,Seed,,,"Information Technology, Mobile Apps, Software",E-Commerce,13000000000,6,,,,,,,
Right Click,,,Riyadh ,Right Click is a public relations and digital marketing agency.,2016,,,Seed,,,"Advertising, Digital Marketing, Public Relations",IT,13000000000,6,,,0,100%,259,3600%,
Derayah Financial,30000000,,Jeddah ,Derayah was established to protect and empower individual investors to take control of their financial success.,2015,,,Series B,,,Financial Services,E-Commerce,13000000000,6,,,,,,,0
Exa Information Technology,30000000,,Riyadh ,Exa Information Technology is an IT company that provides cloud and cyber security services.,2003,,,Series B,,,"Cloud Data Services, Cyber Security, Information Technology",IT,13000000000,31,,,0,100%,612,,0
Araamis,,,Riyadh ,Araamis is a management consulting company.,2004,,,Series B,,,"Management Consulting, Project Management",Media&Entertainment,49500000000,751,,,0,100%,745,-41%,1
Saryah,1000000,,Riyadh ,Saryah provides an electronic platform which offers information about the most prominent historical and tourist sites.,2007,,Seed,Seed,1,1,"Tourism, Travel, Travel Agency",Consultancy  ,13000000000,76,,,,,,,0
United Wire Factories Co.,300000000,,Riyadh ,Union Wire Factory is a wire manufacturing company with a product range from metal wires to drawing and galvanizing and forming.,2012,1,IPO,Series B,,,"Industrial, Manufacturing",Telecommunication,2500000000,31,,,,,,,1
Gurfati.com,,,Riyadh ,"Gurfati.com provides reservation services for furnished apartments, chalets and rest houses across all regions of Saudi Arabia.",2009,,,Series B,,,"E-Commerce, Travel Accommodations",Consultancy  ,13000000000,176,,2,,,,,0
Snapbuy,,,Riyadh ,"A platform app where you sell, buy and auction in fast & easy way",2017,3,,Series A,1,1,E-Commerce,Financial Services ,13000000000,31,,,,,,,
DigiCart,,,Riyadh ,Information Technology company offering App & Web development,2007,2,,Series B,,,Information Technology,Sales&Marketing,13000000000,176,,,,,,,0
KaafMeem,,,Riyadh ,"KaafMeem is an e-shop that provides fashionable clothing, elegant modern hijab, scarves and other fashion accessories.",2017,,,Seed,,,"E-Commerce, Fashion, Retail",Consultancy  ,13000000000,6,,,36,0%,374,,
Methanol Chemicals Co.,300000000,,Riyadh ,Methanol Chemicals Co is an integrated and reliable global producer of methanol and derivatives with speciality in formaldehyde production.,2017,,IPO,Seed,,,"Chemical, Chemical Engineering, Manufacturing",Consultancy  ,13000000000,6,,,101,50%,278,1%,1
EBOX Solutions,5500000,,Jizan,EBOX Solutions is a digital design and interactive IT solutions company.,2017,,,Seed,,,"Information Technology, Software, Web Design",Consumer Services,42000000000,7,,,,,,,1
Leejam Sports Co,300000000,,Riyadh ,Leejam Sports Co is a sport center chain in MENA providing fitness technology & highly trained professional staff for the fitness community.,1991,,IPO,Series C,,,"Fitness, Sports",Energy,49500000000,176,,,,,,,1
Security Matterz,,,Riyadh ,"Security Matterz is a company which provides IT Security, Infrastructure and Networking, and Consulting services.",1998,,,Series C,,,"Consulting, Information Technology, IT Infrastructure, Predictive Analytics",Consumer Services,42000000000,376,,,781,50%,286,,0
Exacall,,,Riyadh ,ExaCall provides the best innovative and integrated solutions for calls with a flexible system to serve companies and call centers.,2005,,,Series B,,,"Email, Telecommunications",Consultancy  ,13000000000,31,,,599,27%,1182,-31%,0
ANMAT,5500000,,Jeddah ,ANMAT is a regional consulting and technology Arab firm that provides IT support and services.,2018,,,Seed,,,"Consulting, Information Technology, Service Industry",Business Intelligence,13000000000,7,,,0,100%,172,,1
SAIB BNP Paribas Asset Management,,,Tabuk,SAIB BNP Paribas Asset Management is provider of financial advisory services.,1990,,,Series C,,,"Asset Management, B2B, Consulting, Predictive Analytics",Media&Entertainment,49500000000,176,,,,,,,0
Maestro,,,Riyadh ,Maestro is a marketing and event management company.,2003,,,Series B,,,"Advertising, Event Management, Marketing",Artificial Intelligence,13000000000,76,,,,,,,0
Golden Logic Co.,,,Riyadh ,"Golden Logic Co. provides software services, technology consultancy, design and development solutions for various verticals.",1989,,,Series C,,,"Consulting, Information Technology, Software",Food&Beverage ,42000000000,76,,,0,100%,41,,1
Ceodeck,,,Ash Sharqiyah ,Ceodeck is a web platform and app that allows users to track and share numbers.,1990,,Seed,Seed,1,1,"Management Consulting, Mobile",HealthTech,5400000000,376,,,,,,,0
Jazadco,,,Riyadh ,Jazadco is one of the largest fishery and agricultural companies in Saudi Arabia.,2015,,,Series B,,,Agriculture,Sales&Marketing,13000000000,6,,,22,0%,384,,0
Arabian Pipes Co.,300000000,,Riyadh ,"Arabian Pipes Co. manufactures & markets welded steel pipes for Oil and Gas, Structural and commercial utilization.",1980,,IPO,Series C,,,"Industrial, Manufacturing",Food&Beverage ,42000000000,751,,,28,50%,352,-57%,1
Ensan Charity Committee for Orphans Care,,,Riyadh ,Ensan Charity Committee for Orphans Care is a non-profit organization that supports and assists children with various programs and services.,2017,,,Seed,,,"Charity, Children, Non Profit, Social Assistance",Media&Entertainment,49500000000,6,,,333,71%,7255,4%,
