Organization_Name,Estimated_Revenue_Range,Total_Funding_Amount,Headquarters_Location,Description,Founded_Date,Number_of_Founders,Funding_Status,Funding_Stage,Number_Funding_Rounds,Number_of_Investors,Industries,Industry_Groups,Sector_Size,Number_of_Employees,Downloads_Last_30_Days,Number_of_Apps,Visit_Duration,Bounce_Rate,Monthly_Visits,Monthly_Visits_Growth,Exit_status
Attar Software Engineering,,,Ash Sharqiyah,Attar Software Engineering is a software development company that specializes in ERP and IT solutions.,2017,,,Seed,,,"Enterprise Resource Planning (ERP), Information Technology, Intelligent Systems, Software",Real Estate,2500000000,751,,,,,,,servival
Nawat,,,Jeddah ,Nawat is a management consulting firm.,2017,2,,Seed,,,"Consulting, Management Consulting",Consumer Services,42000000000,751,,,,,,,exited
Alrahden Company,30000000,,Asir Province,"Alrahden Company offers laundry services that includes clothes , Furniture , Upholstery ,Carpet & Sofa washing",1997,,,Series C,,,Laundry and Dry-cleaning,Real Estate,2500000000,76,,,,,,,exited
Alnafitha IT,30000000,,Ash Sharqiyah,"Alnafitha has consistent procedures and resources, as well as the right skills, to plan IT strategies that meet your particular needs.",1990,,,Series C,,,"Cloud Computing, Computer, Infrastructure, Network Security, Outsourcing, Training",Transportation,18000000000,31,,,110,67%,2513,148%,servival
Arabian Auto Agency,30000000,,Ash Sharqiyah,"Arabian Auto Agency is a distributor & seller of construction, transportation, agricultural, automotive & material handling equipment.",2012,,,Series B,,,"Consumer Goods, Sales",Artificial Intelligence,13000000000,31,,,0,100%,384,,servival
Zahrat Al Waha For Trading Co.,300000000,,Riyadh ,Zahrat Al Waha For Trading Co. is a producer of PET preform and HDPE closure (caps) products.,2013,,IPO,Series B,,,"Manufacturing, Plastics and Rubber Manufacturing",E-Commerce,13000000000,6,,,,,,,exited
Tamimi Group,,,Ash Sharqiyah,Tamimi Group provides integrated solutions with quality and professionalism.,1989,,,Series C,,,"Construction, Facility Management, Industrial, Professional Services",Telecommunication,13000000000,176,,,1,89%,1028,123%,servival
Allied Maintenance,,,Riyadh ,Allied Maintenance is a facilities management company that manages multiple projects.,2009,,M&A,Series B,,,"Facilities Support Services, Infrastructure",Insurtech,13000000000,176,,,,,,,exited
Southern Province Cement Co.,300000000,,Riyadh ,"Southern Province Cement Co. specializes in the manufacture and production of cement, its derivatives and dependencies.",1997,,IPO,Series C,,,"Building Material, Manufacturing",Food&Beverage ,42000000000,751,,,0,100%,1222,50%,exited
Middle East Group,,,Jeddah ,"Middle East Group is a facilities management, operation and maintenance, transport and logistics, and food services company.",2012,1,,Series B,,,"Facility Management, Logistics, Transportation",Sales&Marketing,13000000000,31,,,0,100%,49,63%,servival
Takamul Smart Technology,,,Ash Sharqiyah,Takamul Smart Technology is a digital product development company.,2007,,,Series B,,,"Information Technology, Intelligent Systems, Internet",Energy,49500000000,31,,3,,,,,servival
NUMNY LLC,5500000,,Riyadh ,State of the art secure digital goods distribution and delivery platform.,2013,,,Series B,,,"Automotive, Delivery, E-Commerce, Internet, Internet of Things, Telecommunications, Transportation",Sales&Marketing,13000000000,31,,,,,,,servival
El-Ajou Group Trading,,,Ash Sharqiyah,El-Ajou Group Trading provides office automation solutions in printing and office furniture solutions.,1980,,,Series C,,,"Furniture, Printing, Trading Platform",Energy,49500000000,751,,,,,,,exited
Electronia,75000000,,Ash Sharqiyah,"Electronia delivers advanced wired/wireless broadband communications systems, VSAT systems, trunking, switching technologies solutions.",2008,,,Series B,,,"Local Business, Service Industry, Telecommunications",E-Commerce,13000000000,6,,,40,0%,33,,servival
Gulf General Cooperative Insurance Co.,75000000,,Jeddah ,Gulf General Cooperative Insurance Co. is a cooperative insurance company that provides insurance solutions to meet customers' needs.,2002,,IPO,Series B,,,"Health Insurance, Insurance",Real Estate,2500000000,751,,,444,26%,7988,-8%,exited
ARASCO,,,Jeddah ,ARASCO is a support food and water security in a sustainable manner in the kingdom and the region.,2008,,,Series B,,,"Food and Beverage, Food Delivery, Food Processing",IT,13000000000,31,,,28,29%,1892,-12%,servival
hype Digital Marketing,,,Riyadh ,hype Digital Marketing is a digital marketing and social media management agency.,2001,,,Series B,,,"Advertising, Digital Marketing, Social Media Management",E-Commerce,13000000000,76,,,,,,,servival
Midad Holdings,1000000,,Riyadh ,"Midad Holdings provides services to the oil & gas, refining & petrochemical, power & water, and public industries.",2012,,,Series B,,,Oil and Gas,Transportation,18000000000,176,,,,,,,servival
Dtech Systems,,,Jeddah ,"Dtech Systems is a digital marketing agency that provides software solutions, mobile, and web applications.",2008,,,Series B,,,"Digital Marketing, Software, Web Apps",IT,13000000000,6,,,97,50%,1178,-13%,servival
Saudi Steel Pipe,,,Jeddah ,Saudi Steel Pipe is the leading manufacturer of premium high-frequency induction welded pipes.,2010,,IPO,Series B,,,"Industrial Engineering, Manufacturing, Mechanical Engineering",IT,13000000000,31,,,9,33%,482,-25%,exited
Digital Cairo Software,,,Ash Sharqiyah,Simple Software solutions,2015,1,,Series B,,,"Mobile Apps, Software",IT,13000000000,6,"29,864",11,,,,,servival
Mowah,,,Ash Sharqiyah,Mowah is the largest private sea water and ground water desalination company.,1990,,,Series C,,,"Construction, Water Purification",Telecommunication,13000000000,376,,,5,50%,44,,servival
